symbol,name,exchange,sector
CEIGALL.NS,Ceigall India Limited,NSE,Industrials
CELEBRITY.NS,Celebrity Fashions Limited,NSE,Consumer Cyclical
CELLO.NS,Cello World Limited,NSE,Consumer Cyclical
CEMPRO.NS,Cemindia Projects Limited,NSE,Industrials
CENTENKA.NS,Century Enka Limited,NSE,Consumer Cyclical
CENTEXT.NS,Century Extrusions Limited,NSE,Basic Materials
CENTRALBK.NS,Central Bank of India,NSE,Financial Services
CENTRUM.NS,Centrum Capital Limited,NSE,Financial Services
CENTUM.NS,Centum Electronics Limited,NSE,Technology
CENTURYPLY.NS,Century Plyboards (India) Limited,NSE,Basic Materials
CERA.NS,Cera Sanitaryware Limited,NSE,Industrials
CEREBRAINT.NS,Cerebra Integrated Technologies Limited,NSE,Technology
CESC.NS,CESC Limited,NSE,Utilities
CEWATER.NS,Concord Enviro Systems Limited,NSE,Utilities
CGCL.NS,Capri Global Capital Limited,NSE,Financial Services
CGPOWER.NS,CG Power and Industrial Solutions Limited,NSE,Industrials
CHALET.NS,Chalet Hotels Limited,NSE,Consumer Cyclical
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Limited,NSE,Basic Materials
CHEMBOND.NS,Chembond Material Technologies Limited,NSE,Basic Materials
CHEMBONDCH.NS,Chembond Chemicals Limited,NSE,Basic Materials
CHEMCON.NS,Chemcon Speciality Chemicals Limited,NSE,Basic Materials
CHEMFAB.NS,Chemfab Alkalis Limited,NSE,Basic Materials
CHEMPLASTS.NS,Chemplast Sanmar Limited,NSE,Basic Materials
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,NSE,Energy
CHEVIOT.NS,Cheviot Company Limited,NSE,Consumer Cyclical
CHOICEIN.NS,Choice International Limited,NSE,Financial Services
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,NSE,Financial Services
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,NSE,Financial Services
CIEINDIA.NS,CIE Automotive India Limited,NSE,Consumer Cyclical
CIFL.NS,Capital India Finance Limited,NSE,Financial Services
CIGNITITEC.NS,Cigniti Technologies Limited,NSE,Technology
CINELINE.NS,Cineline India Limited,NSE,Communication Services
CINEVISTA.NS,Cinevista Limited,NSE,Communication Services
CIPLA.NS,Cipla Limited,NSE,Healthcare
CLEAN.NS,Clean Science and Technology Limited,NSE,Basic Materials
CLEDUCATE.NS,CL Educate Limited,NSE,Consumer Defensive
CLSEL.NS,Chaman Lal Setia Exports Limited,NSE,Consumer Defensive
CMSINFO.NS,CMS Info Systems Limited,NSE,Industrials
COALINDIA.NS,Coal India Limited,NSE,Energy
COASTCORP.NS,Coastal Corporation Limited,NSE,Consumer Defensive
COCHINSHIP.NS,Cochin Shipyard Limited,NSE,Industrials
COFFEEDAY.NS,Coffee Day Enterprises Limited,NSE,Consumer Cyclical
COFORGE.NS,Coforge Limited,NSE,Technology
